Lat,Lon,Time Range,Vessel IDs,Apparent Fishing Hours
28.000000,49.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",142,1685.18
28.200000,49.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",108,905.49
28.200000,49.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",162,2242.51
28.100000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",14,247.18
27.900000,50.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",39,531.96
27.700000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",25,248.72
27.600000,49.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",250,3420.45
28.600000,50.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",15,147.29
27.600000,50.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",31,527.05
27.300000,50.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",13,126.65
27.000000,49.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",126,5277.28
26.500000,51.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",7,49.21
26.500000,52.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",7,148.42
26.600000,53.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",15,160.96
26.300000,52.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",8,166.28
26.300000,53.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",30,310.44
25.900000,53.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",21,197.03
26.300000,54.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",26,658.81
26.300000,55.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",13,378.64
25.800000,53.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",32,445.89
25.500000,53.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",2,2.48
25.600000,55.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",7,557.16
24.100000,53.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",9,63.54
24.300000,53.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",5,20.34
28.300000,48.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",103,1265.14
27.800000,49.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",228,5910.60
28.200000,48.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",24,152.36
27.400000,49.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",235,16104.78
27.600000,49.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",116,2566.07
27.500000,49.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",94,758.34
27.900000,48.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",244,23362.06
28.100000,48.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",72,9431.67
27.400000,49.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",167,2154.43
28.000000,49.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",206,6476.98
26.600000,50.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",288,26091.58
28.000000,50.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",23,395.54
28.000000,48.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",299,19359.03
27.400000,49.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",169,8165.70
27.700000,51.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",30,475.89
25.800000,50.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",19,413.26
28.300000,49.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",31,285.24
28.200000,50.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",26,290.89
26.100000,54.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",15,195.62
26.200000,53.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",33,729.13
25.700000,54.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",23,307.22
25.600000,53.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",18,235.11
25.100000,53.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",1,11.96
26.400000,50.900000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",24,185.05
26.200000,50.700000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",81,1249.57
26.800000,51.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",67,3065.64
26.500000,51.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",12,162.67
26.300000,53.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",20,157.49
25.500000,53.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",10,114.08
24.400000,51.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",10,776.22
26.400000,51.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",8,42.31
27.000000,51.100000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",26,683.69
25.600000,55.300000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",10,256.89
26.200000,51.500000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",9,151.24
25.400000,52.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",10,291.24
25.900000,50.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",2,8.59
27.000000,52.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",26,407.58
26.600000,52.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",13,150.14
26.000000,52.200000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",24,1576.83
25.600000,53.000000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",6,89.61
25.600000,55.400000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",10,82.89
24.400000,52.800000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",5,2.01
27.700000,49.600000,"2023-05-01T00:00:00.000Z,2024-05-01T00:00:00.000Z",153,2084.19
